acq_date,count,week_of_the_year,year
2009-02-22,2,8,2009
2009-03-01,2,9,2009
2009-03-08,9,10,2009
2009-03-15,15,11,2009
2009-03-22,18,12,2009
2009-03-29,55,13,2009
2009-04-05,237,14,2009
2009-04-12,274,15,2009
2009-04-19,182,16,2009
2009-04-26,69,17,2009
2009-05-03,43,18,2009
2009-05-10,34,19,2009
2009-05-17,37,20,2009
2009-05-24,44,21,2009
2009-05-31,49,22,2009
2009-06-07,3,23,2009
2009-06-14,6,24,2009
2009-06-21,0,25,2009
2009-06-28,1,26,2009
2009-07-05,0,27,2009
2009-07-12,0,28,2009
2009-07-19,0,29,2009
2009-07-26,2,30,2009
2009-08-02,0,31,2009
2009-08-09,0,32,2009
2009-08-16,0,33,2009
2009-08-23,0,34,2009
2009-08-30,0,35,2009
2009-09-06,0,36,2009
2009-09-13,0,37,2009
2009-09-20,0,38,2009
2009-09-27,0,39,2009
2009-10-04,0,40,2009
2009-10-11,0,41,2009
2009-10-18,0,42,2009
2009-10-25,0,43,2009
2009-11-01,0,44,2009
2009-11-08,0,45,2009
2009-11-15,0,46,2009
2009-11-22,0,47,2009
2009-11-29,0,48,2009
2009-12-06,0,49,2009
2009-12-13,0,50,2009
2009-12-20,0,51,2009
2009-12-27,0,52,2009
2010-01-03,0,53,2010
2010-01-10,0,1,2010
2010-01-17,0,2,2010
2010-01-24,1,3,2010
2010-01-31,0,4,2010
2010-02-07,0,5,2010
2010-02-14,0,6,2010
2010-02-21,0,7,2010
2010-02-28,0,8,2010
2010-03-07,0,9,2010
2010-03-14,12,10,2010
2010-03-21,4,11,2010
2010-03-28,13,12,2010
2010-04-04,36,13,2010
2010-04-11,99,14,2010
2010-04-18,1,15,2010
2010-04-25,10,16,2010
2010-05-02,29,17,2010
2010-05-09,171,18,2010
2010-05-16,104,19,2010
2010-05-23,0,20,2010
2010-05-30,1,21,2010
2010-06-06,2,22,2010
2010-06-13,7,23,2010
2010-06-20,6,24,2010
2010-06-27,0,25,2010
2010-07-04,0,26,2010
2010-07-11,0,27,2010
2010-07-18,0,28,2010
2010-07-25,0,29,2010
2010-08-01,0,30,2010
2010-08-08,0,31,2010
2010-08-15,0,32,2010
2010-08-22,0,33,2010
2010-08-29,0,34,2010
2010-09-05,0,35,2010
2010-09-12,0,36,2010
2010-09-19,0,37,2010
2010-09-26,0,38,2010
2010-10-03,0,39,2010
2010-10-10,0,40,2010
2010-10-17,0,41,2010
2010-10-24,0,42,2010
2010-10-31,0,43,2010
2010-11-07,0,44,2010
2010-11-14,0,45,2010
2010-11-21,0,46,2010
2010-11-28,0,47,2010
2010-12-05,0,48,2010
2010-12-12,2,49,2010
2010-12-19,1,50,2010
2010-12-26,1,51,2010
2011-01-02,0,52,2011
2011-01-09,0,1,2011
2011-01-16,0,2,2011
2011-01-23,0,3,2011
2011-01-30,0,4,2011
2011-02-06,1,5,2011
2011-02-13,0,6,2011
2011-02-20,0,7,2011
2011-02-27,3,8,2011
2011-03-06,2,9,2011
2011-03-13,0,10,2011
2011-03-20,1,11,2011
2011-03-27,18,12,2011
2011-04-03,83,13,2011
2011-04-10,143,14,2011
2011-04-17,180,15,2011
2011-04-24,160,16,2011
2011-05-01,78,17,2011
2011-05-08,64,18,2011
2011-05-15,127,19,2011
2011-05-22,29,20,2011
2011-05-29,24,21,2011
2011-06-05,20,22,2011
2011-06-12,3,23,2011
2011-06-19,3,24,2011
2011-06-26,2,25,2011
2011-07-03,1,26,2011
2011-07-10,0,27,2011
2011-07-17,0,28,2011
2011-07-24,0,29,2011
2011-07-31,0,30,2011
2011-08-07,0,31,2011
2011-08-14,0,32,2011
2011-08-21,0,33,2011
2011-08-28,0,34,2011
2011-09-04,0,35,2011
2011-09-11,0,36,2011
2011-09-18,0,37,2011
2011-09-25,0,38,2011
2011-10-02,0,39,2011
2011-10-09,0,40,2011
2011-10-16,0,41,2011
2011-10-23,0,42,2011
2011-10-30,0,43,2011
2011-11-06,0,44,2011
2011-11-13,0,45,2011
2011-11-20,0,46,2011
2011-11-27,0,47,2011
2011-12-04,1,48,2011
2011-12-11,0,49,2011
2011-12-18,0,50,2011
2011-12-25,0,51,2011
2012-01-01,0,52,2012
2012-01-08,0,1,2012
2012-01-15,0,2,2012
2012-01-22,1,3,2012
2012-01-29,0,4,2012
2012-02-05,0,5,2012
2012-02-12,0,6,2012
2012-02-19,1,7,2012
2012-02-26,1,8,2012
2012-03-04,1,9,2012
2012-03-11,1,10,2012
2012-03-18,2,11,2012
2012-03-25,14,12,2012
2012-04-01,13,13,2012
2012-04-08,7,14,2012
2012-04-15,14,15,2012
2012-04-22,4,16,2012
2012-04-29,30,17,2012
2012-05-06,44,18,2012
2012-05-13,58,19,2012
2012-05-20,0,20,2012
2012-05-27,3,21,2012
2012-06-03,2,22,2012
2012-06-10,0,23,2012
2012-06-17,0,24,2012
2012-06-24,0,25,2012
2012-07-01,0,26,2012
2012-07-08,0,27,2012
2012-07-15,4,28,2012
2012-07-22,0,29,2012
2012-07-29,0,30,2012
2012-08-05,0,31,2012
2012-08-12,0,32,2012
2012-08-19,0,33,2012
2012-08-26,0,34,2012
2012-09-02,0,35,2012
2012-09-09,1,36,2012
